"1,000kg"	数値表現-寸法表現-重量
"Java 2 Platform, Enterprise Edition"	名前-製品名-製品名_その他
"Joseph ben Ephraim Qaro(Caro, Karo)"	名前-人名
"Portland, Oregon"	名前-地名-GPE-市区町村名
"ノビコフ, プリボイ"	名前-人名
$10 	数値表現-金額表現
'99（平成11）年	時間表現-時間-日付表現
007 ロシアより愛をこめて	名前-製品名-芸術名-文学名
1	時間表現-時間-日付表現
10	時間表現-時間-日付表現
100%キャイ〜ン!	名前-製品名-芸術名-番組名
100円コミュニティバス	名前-製品名-乗り物名-車名
1025年	時間表現-時間-日付表現
1028年	時間表現-時間-日付表現
1034年	時間表現-時間-日付表現
1041年	時間表現-時間-日付表現
1042年	時間表現-時間-日付表現
1055年	時間表現-時間-日付表現
1056年	時間表現-時間-日付表現
1057年	時間表現-時間-日付表現
1058年	時間表現-時間-日付表現
1059年	時間表現-時間-日付表現
106	名前-製品名-乗り物名-車名
1060年	時間表現-時間-日付表現
1067年	時間表現-時間-日付表現
1068年	時間表現-時間-日付表現
1071年	時間表現-時間-日付表現
1078年	時間表現-時間-日付表現
1081年	時間表現-時間-日付表現
1099年	時間表現-時間-日付表現
10セント硬貨	数値表現-金額表現
10世紀	時間表現-時間-日付表現
10号誕生!仮面ライダー全員集合!!	名前-製品名-芸術名-番組名
10月	時間表現-時間-日付表現
10月10日	時間表現-時間-日付表現
10月11日	時間表現-時間-日付表現
10月12日	時間表現-時間-日付表現
10月13日	時間表現-時間-日付表現
10月14日	時間表現-時間-日付表現
10月15日	時間表現-時間-日付表現
10月16日	時間表現-時間-日付表現
10月17日	時間表現-時間-日付表現
10月18日	時間表現-時間-日付表現
10月1日	時間表現-時間-日付表現
10月20日	時間表現-時間-日付表現
10月21日	時間表現-時間-日付表現
10月22日	時間表現-時間-日付表現
10月23日	時間表現-時間-日付表現
10月25日	時間表現-時間-日付表現
10月26日	時間表現-時間-日付表現
10月28日	時間表現-時間-日付表現
10月29日	時間表現-時間-日付表現
10月29日 (旧暦)	時間表現-時間-日付表現
10月2日	時間表現-時間-日付表現
10月30日	時間表現-時間-日付表現
10月31日	時間表現-時間-日付表現
10月3日	時間表現-時間-日付表現
10月4日	時間表現-時間-日付表現
10月5日	時間表現-時間-日付表現
10月5日 (旧暦)	時間表現-時間-日付表現
10月6日	時間表現-時間-日付表現
10月7日	時間表現-時間-日付表現
10月8日	時間表現-時間-日付表現
10月9日	時間表現-時間-日付表現
11	時間表現-時間-日付表現
1100年	時間表現-時間-日付表現
1107年	時間表現-時間-日付表現
1111年	時間表現-時間-日付表現
1113年	時間表現-時間-日付表現
1114年	時間表現-時間-日付表現
1115年	時間表現-時間-日付表現
1116年	時間表現-時間-日付表現
1117年	時間表現-時間-日付表現
1118年	時間表現-時間-日付表現
1127年	時間表現-時間-日付表現
1131年	時間表現-時間-日付表現
1135年	時間表現-時間-日付表現
1137年	時間表現-時間-日付表現
1143年	時間表現-時間-日付表現
1149年	時間表現-時間-日付表現
1156年	時間表現-時間-日付表現
1159年	時間表現-時間-日付表現
1162年	時間表現-時間-日付表現
1169年	時間表現-時間-日付表現
1170年	時間表現-時間-日付表現
117年	時間表現-時間-日付表現
1180年	時間表現-時間-日付表現
1181年	時間表現-時間-日付表現
1183年	時間表現-時間-日付表現
1185年	時間表現-時間-日付表現
1186年	時間表現-時間-日付表現
1190年	時間表現-時間-日付表現
1191年	時間表現-時間-日付表現
1195年	時間表現-時間-日付表現
1196年	時間表現-時間-日付表現
11PM	名前-製品名-芸術名-番組名
11世紀	時間表現-時間-日付表現
11人いる!	名前-製品名-芸術名-文学名
11月	時間表現-時間-日付表現
11月10日	時間表現-時間-日付表現
11月11日	時間表現-時間-日付表現
11月12日	時間表現-時間-日付表現
11月13日	時間表現-時間-日付表現
11月14日	時間表現-時間-日付表現
11月15日	時間表現-時間-日付表現
11月16日	時間表現-時間-日付表現
11月17日	時間表現-時間-日付表現
11月18日	時間表現-時間-日付表現
11月19日	時間表現-時間-日付表現
11月1日	時間表現-時間-日付表現
11月20日	時間表現-時間-日付表現
11月21日	時間表現-時間-日付表現
11月22日	時間表現-時間-日付表現
11月23日	時間表現-時間-日付表現
11月24日	時間表現-時間-日付表現
11月25日	時間表現-時間-日付表現
11月26日	時間表現-時間-日付表現
11月27日	時間表現-時間-日付表現
11月28日	時間表現-時間-日付表現
11月29日	時間表現-時間-日付表現
11月2日	時間表現-時間-日付表現
11月30日	時間表現-時間-日付表現
11月30日 (旧暦)	時間表現-時間-日付表現
11月3日	時間表現-時間-日付表現
11月4日	時間表現-時間-日付表現
11月5日	時間表現-時間-日付表現
11月6日	時間表現-時間-日付表現
11月7日	時間表現-時間-日付表現
11月8日	時間表現-時間-日付表現
11月9日	時間表現-時間-日付表現
12	時間表現-時間-日付表現
1201年	時間表現-時間-日付表現
1203年	時間表現-時間-日付表現
1204年	時間表現-時間-日付表現
1205年	時間表現-時間-日付表現
1209年	時間表現-時間-日付表現
120年	時間表現-時間-日付表現
1211年	時間表現-時間-日付表現
1221年	時間表現-時間-日付表現
1222年	時間表現-時間-日付表現
1242年	時間表現-時間-日付表現
1246年	時間表現-時間-日付表現
124年	時間表現-時間-日付表現
1250年	時間表現-時間-日付表現
1252年	時間表現-時間-日付表現
1254年	時間表現-時間-日付表現
1258年	時間表現-時間-日付表現
1260年	時間表現-時間-日付表現
1261年	時間表現-時間-日付表現
1267年	時間表現-時間-日付表現
1268年	時間表現-時間-日付表現
1279年	時間表現-時間-日付表現
1282年	時間表現-時間-日付表現
1285年	時間表現-時間-日付表現
1291年	時間表現-時間-日付表現
1293年	時間表現-時間-日付表現
1294年	時間表現-時間-日付表現
12世紀	時間表現-時間-日付表現
12日	時間表現-時間-日付表現
12月	時間表現-時間-日付表現
12月10日	時間表現-時間-日付表現
12月11日	時間表現-時間-日付表現
12月12日	時間表現-時間-日付表現
12月13日	時間表現-時間-日付表現
12月14日	時間表現-時間-日付表現
12月15日	時間表現-時間-日付表現
12月16日	時間表現-時間-日付表現
12月17日	時間表現-時間-日付表現
12月19日	時間表現-時間-日付表現
12月1日	時間表現-時間-日付表現
12月20日	時間表現-時間-日付表現
12月21日	時間表現-時間-日付表現
12月22日	時間表現-時間-日付表現
12月23日	時間表現-時間-日付表現
12月24日	時間表現-時間-日付表現
12月24日 (旧暦)	時間表現-時間-日付表現
12月25日	時間表現-時間-日付表現
12月26日	時間表現-時間-日付表現
12月27日	時間表現-時間-日付表現
12月28日	時間表現-時間-日付表現
12月2日	時間表現-時間-日付表現
12月30日	時間表現-時間-日付表現
12月31日	時間表現-時間-日付表現
12月4日	時間表現-時間-日付表現
12月5日	時間表現-時間-日付表現
12月6日	時間表現-時間-日付表現
12月7日	時間表現-時間-日付表現
12月8日	時間表現-時間-日付表現
12月9日	時間表現-時間-日付表現
13	時間表現-時間-日付表現
1300年	時間表現-時間-日付表現
1304年	時間表現-時間-日付表現
1311年	時間表現-時間-日付表現
1314年	時間表現-時間-日付表現
1316年	時間表現-時間-日付表現
1320年	時間表現-時間-日付表現
1322年	時間表現-時間-日付表現
1327年	時間表現-時間-日付表現
1328年	時間表現-時間-日付表現
1329年	時間表現-時間-日付表現
1330年	時間表現-時間-日付表現
1331年	時間表現-時間-日付表現
1332年	時間表現-時間-日付表現
1333年	時間表現-時間-日付表現
1334年	時間表現-時間-日付表現
1335年	時間表現-時間-日付表現
1336年	時間表現-時間-日付表現
1338年	時間表現-時間-日付表現
1339年	時間表現-時間-日付表現
1340年	時間表現-時間-日付表現
1341年	時間表現-時間-日付表現
1342年	時間表現-時間-日付表現
1343年	時間表現-時間-日付表現
1345年	時間表現-時間-日付表現
1347年	時間表現-時間-日付表現
1350年	時間表現-時間-日付表現
1351年	時間表現-時間-日付表現
1352年	時間表現-時間-日付表現
1354年	時間表現-時間-日付表現
1356年	時間表現-時間-日付表現
1357年	時間表現-時間-日付表現
135年	時間表現-時間-日付表現
1360年	時間表現-時間-日付表現
1362年	時間表現-時間-日付表現
1364年	時間表現-時間-日付表現
1366年	時間表現-時間-日付表現
1367年	時間表現-時間-日付表現
1368年	時間表現-時間-日付表現
1369年	時間表現-時間-日付表現
1370年	時間表現-時間-日付表現
1371年	時間表現-時間-日付表現
1374年	時間表現-時間-日付表現
1375年	時間表現-時間-日付表現
1376年	時間表現-時間-日付表現
1379年	時間表現-時間-日付表現
1380年	時間表現-時間-日付表現
1381年	時間表現-時間-日付表現
1387年	時間表現-時間-日付表現
1389年	時間表現-時間-日付表現
138年	時間表現-時間-日付表現
1390年	時間表現-時間-日付表現
1391年	時間表現-時間-日付表現
13世紀	時間表現-時間-日付表現
13日	時間表現-時間-日付表現
14	時間表現-時間-日付表現
1400年	時間表現-時間-日付表現
1402年	時間表現-時間-日付表現
1403年	時間表現-時間-日付表現
141(いちよんいち)	名前-施設名-GOE-GOE_その他
1413年	時間表現-時間-日付表現
1415年	時間表現-時間-日付表現
1416年	時間表現-時間-日付表現
1418年	時間表現-時間-日付表現
1419年	時間表現-時間-日付表現
1420年	時間表現-時間-日付表現
1423年	時間表現-時間-日付表現
1425年	時間表現-時間-日付表現
1428年	時間表現-時間-日付表現
1431年	時間表現-時間-日付表現
1432年	時間表現-時間-日付表現
1436年	時間表現-時間-日付表現
1437年	時間表現-時間-日付表現
1438年	時間表現-時間-日付表現
1439年	時間表現-時間-日付表現
1440年	時間表現-時間-日付表現
1441年	時間表現-時間-日付表現
1447年	時間表現-時間-日付表現
1448年	時間表現-時間-日付表現
1453年	時間表現-時間-日付表現
1468年	時間表現-時間-日付表現
1470年	時間表現-時間-日付表現
1471年	時間表現-時間-日付表現
1482年	時間表現-時間-日付表現
1484年	時間表現-時間-日付表現
1485年	時間表現-時間-日付表現
1486年	時間表現-時間-日付表現
1487年	時間表現-時間-日付表現
1488年	時間表現-時間-日付表現
1491年	時間表現-時間-日付表現
1492年	時間表現-時間-日付表現
1494年	時間表現-時間-日付表現
1495年	時間表現-時間-日付表現
1497年	時間表現-時間-日付表現
1498年	時間表現-時間-日付表現
1499年	時間表現-時間-日付表現
14世紀	時間表現-時間-日付表現
14年	時間表現-時間-日付表現
14日	時間表現-時間-日付表現
15	時間表現-時間-日付表現
1500年	時間表現-時間-日付表現
1501年	時間表現-時間-日付表現
1502年	時間表現-時間-日付表現
1504年	時間表現-時間-日付表現
1509年	時間表現-時間-日付表現
150年	時間表現-時間-日付表現
1516年	時間表現-時間-日付表現
1517年	時間表現-時間-日付表現
1519年	時間表現-時間-日付表現
1520年	時間表現-時間-日付表現
1521年	時間表現-時間-日付表現
1522年	時間表現-時間-日付表現
1527年	時間表現-時間-日付表現
1529年	時間表現-時間-日付表現
1530年	時間表現-時間-日付表現
1541年	時間表現-時間-日付表現
1543年	時間表現-時間-日付表現
1545年	時間表現-時間-日付表現
1550年	時間表現-時間-日付表現
1552年	時間表現-時間-日付表現
1553年	時間表現-時間-日付表現
1557年	時間表現-時間-日付表現
1561年	時間表現-時間-日付表現
1563年	時間表現-時間-日付表現
1564年	時間表現-時間-日付表現
1566年	時間表現-時間-日付表現
1570年	時間表現-時間-日付表現
1572年	時間表現-時間-日付表現
1574年	時間表現-時間-日付表現
1576年	時間表現-時間-日付表現
1578年	時間表現-時間-日付表現
1579年	時間表現-時間-日付表現
1580年	時間表現-時間-日付表現
1581年	時間表現-時間-日付表現
1582年	時間表現-時間-日付表現
1583年	時間表現-時間-日付表現
1584年	時間表現-時間-日付表現
1585年	時間表現-時間-日付表現
1586年	時間表現-時間-日付表現
1587年	時間表現-時間-日付表現
1589年	時間表現-時間-日付表現
1590年	時間表現-時間-日付表現
1593年	時間表現-時間-日付表現
1594年	時間表現-時間-日付表現
1595年	時間表現-時間-日付表現
1596年	時間表現-時間-日付表現
1597年	時間表現-時間-日付表現
1598年	時間表現-時間-日付表現
1599年	時間表現-時間-日付表現
15世紀	時間表現-時間-日付表現
16	時間表現-時間-日付表現
1600年	時間表現-時間-日付表現
